jurisdiction_name,date_collected,document_reference,document_name,agency_name,parent_agency_name,cluster_name,document_id,restrictions,words,shall,must,may_not,prohibited,required,sentence_length,shannon_entropy,conditionals_per_100_sentences,long_word_score_sq
Rhode Island,2020-06-02,"Title 100, Chapter 10, Subchapter 00, Part 1",access to public records,administration,department of state,Administration,1200001071,5,884,4,0,0,1,0,24.0,7.32,16.666666666666664,32.03654080389769
Rhode Island,2020-06-02,"Title 100, Chapter 10, Subchapter 00, Part 2",declaratory order petitions,administration,department of state,Administration,1200001072,5,458,3,2,0,0,0,14.0,6.47,0.0,38.85510688836104
Rhode Island,2020-06-02,"Title 100, Chapter 10, Subchapter 00, Part 3",petition for promulgation of a rule,administration,department of state,Administration,1200001073,7,484,3,4,0,0,0,13.0,6.84,0.0,35.210762331838566
Rhode Island,2020-06-02,"Title 100, Chapter 10, Subchapter 00, Part 4",conduct of public hearings,administration,department of state,Administration,1200001074,8,442,5,2,0,0,1,12.0,6.85,5.555555555555555,35.07106598984772
Rhode Island,2020-06-02,"Title 100, Chapter 20, Subchapter 00, Part 1",placement of candidates and local referenda questions on election ballots,elections,department of state,Administration,1200001075,68,3242,59,8,0,0,1,21.0,8.06,17.880794701986755,34.49819612987865
Rhode Island,2020-06-02,"Title 100, Chapter 20, Subchapter 00, Part 2",rhode island restoration of voting rights act of 2006,elections,department of state,Administration,1200001076,23,1480,22,1,0,0,0,28.0,7.96,15.09433962264151,35.98606271777003
Rhode Island,2020-06-02,"Title 100, Chapter 20, Subchapter 00, Part 3",rules and regulations of the rhode island secretary of state establishing the procedure for the issuance of voter identification cards,elections,department of state,Administration,1200001077,12,1172,10,0,0,0,2,26.0,7.53,11.363636363636363,34.224215246636774
Rhode Island,2020-06-02,"Title 100, Chapter 20, Subchapter 00, Part 4",address confidentiality for victims of domestic violence,elections,department of state,Administration,1200001078,50,1879,40,9,1,0,0,23.0,7.67,21.25,37.06298773690078
Rhode Island,2020-06-02,"Title 100, Chapter 20, Subchapter 00, Part 5",rules and regulations for local boards of canvassers in the updating of voter registration records,elections,department of state,Administration,1200001079,21,658,19,0,0,0,2,20.0,6.89,3.0303030303030303,34.82574568288854
Rhode Island,2020-06-02,"Title 100, Chapter 30, Subchapter 00, Part 1",uniform commercial code revised article 9 administrative rules,business services,department of state,Administration,1200001080,81,8489,62,12,2,0,5,15.0,8.5,15.711645101663583,32.118493909191585
Rhode Island,2020-06-02,"Title 100, Chapter 30, Subchapter 00, Part 2",determination of classes of goods and services associated with the administration of ri gen laws chapter 6 2,business services,department of state,Administration,1200001081,1,1180,1,0,0,0,0,18.0,8.75,13.432835820895525,46.24442462087422
Rhode Island,2020-06-02,"Title 100, Chapter 40, Subchapter 05, Part 1",records management,state archives library and public information,department of state,Administration,1200001082,38,2356,30,3,0,0,5,16.0,7.93,4.054054054054054,40.07644166294144
Rhode Island,2020-06-02,"Title 100, Chapter 40, Subchapter 10, Part 1",rules for the rhode island state publications clearinghouse,state archives library and public information,department of state,Administration,1200001083,7,227,6,0,0,0,1,20.0,6.2,0.0,47.84466019417476
Rhode Island,2020-06-02,"Title 100, Chapter 40, Subchapter 15, Part 1",rules and regulations relating to the rhode island lobbying reform act,state archives library and public information,department of state,Administration,1200001084,53,4427,18,26,0,0,9,20.0,8.53,15.0,36.72127608539218
Rhode Island,2020-06-02,"Title 100, Chapter 40, Subchapter 15, Part 2",electronic filing of meeting minutes and notices open meetings,state archives library and public information,department of state,Administration,1200001085,22,1320,8,11,1,0,2,17.0,7.48,5.405405405405405,35.68659127625202
Rhode Island,2020-06-02,"Title 100, Chapter 40, Subchapter 15, Part 3",acquisition of land registry of leases,state archives library and public information,department of state,Administration,1200001086,14,816,2,10,0,0,2,13.0,7.0,1.694915254237288,36.1619812583668
Rhode Island,2020-06-02,"Title 110, Chapter 20, Subchapter 00, Part 1",rules and regulations for the precious metals regulatory enforcement unit,bureau of criminal identification,attorney general,"Security, Justice, and Corrections",1200001087,44,2546,11,28,0,0,5,17.0,8.83,9.933774834437086,34.96421225832991
Rhode Island,2020-06-02,"Title 110, Chapter 20, Subchapter 00, Part 2",rules and regulations relating to the licensing and regulation of the private security guard business,bureau of criminal identification,attorney general,"Security, Justice, and Corrections",1200001088,62,2395,49,4,0,2,7,24.0,8.26,14.432989690721648,33.219026548672566
Rhode Island,2020-06-02,"Title 110, Chapter 30, Subchapter 00, Part 1",antitrust,civil division,attorney general,"Security, Justice, and Corrections",1200001089,13,962,8,0,0,2,3,24.0,7.7,23.07692307692308,35.769650655021834
Rhode Island,2020-06-02,"Title 110, Chapter 30, Subchapter 00, Part 2",charitable trust,civil division,attorney general,"Security, Justice, and Corrections",1200001090,12,721,12,0,0,0,0,18.0,7.21,2.5,33.97076023391813
Rhode Island,2020-06-02,"Title 110, Chapter 30, Subchapter 00, Part 3",rules and regulations pertaining to hospital conversions act,civil division,attorney general,"Security, Justice, and Corrections",1200001091,28,1004,24,0,0,0,4,23.0,7.0,21.428571428571427,36.70173535791757
Rhode Island,2020-06-02,"Title 110, Chapter 30, Subchapter 00, Part 4",guidelines to prevent retaliatory evictions,civil division,attorney general,"Security, Justice, and Corrections",1200001092,14,1383,8,1,0,3,2,34.0,7.54,46.15384615384615,30.876386687797147
Rhode Island,2020-06-02,"Title 110, Chapter 40, Subchapter 00, Part 2",rules of practice and procedure at rule making hearings,consumer protection unit,attorney general,"Security, Justice, and Corrections",1200001093,10,371,10,0,0,0,0,12.0,6.53,6.451612903225806,32.79261363636363
Rhode Island,2020-06-02,"Title 110, Chapter 40, Subchapter 00, Part 3",rules and regulations relating to the sale of motor vehicles with tampered altered replaced reset or at anytime disconnected odometer gauges,consumer protection unit,attorney general,"Security, Justice, and Corrections",1200001094,17,1596,10,2,0,1,4,25.0,7.96,19.047619047619047,32.69023569023569
Rhode Island,2020-06-02,"Title 110, Chapter 40, Subchapter 00, Part 4",rules and regulations for real estate time share interval ownership sales and practices,consumer protection unit,attorney general,"Security, Justice, and Corrections",1200001095,113,10315,62,12,5,2,32,38.0,8.98,33.07984790874524,32.24685936063732
Rhode Island,2020-06-02,"Title 110, Chapter 50, Subchapter 00, Part 1",rules and regulations for reverse undercover proprietary operations,criminal division,attorney general,"Security, Justice, and Corrections",1200001096,24,1619,5,14,2,0,3,22.0,8.11,23.28767123287671,37.64743183259353
Rhode Island,2020-06-02,"Title 110, Chapter 60, Subchapter 00, Part 2",department of attorney general rules and regulations regarding training under the access to public records act,public records,attorney general,"Security, Justice, and Corrections",1200001097,9,643,2,5,0,0,2,29.0,6.93,18.181818181818183,35.917073170731705
Rhode Island,2020-06-02,"Title 120, Chapter 00, Subchapter 00, Part 1",employees retirement system of rhode island and municipal employees retirement system regulations,treasury department,treasury department,Taxes and Public Finance,1200001098,828,39220,583,159,5,7,74,22.0,9.47,12.732394366197184,34.0766117855757
Rhode Island,2020-06-02,"Title 120, Chapter 00, Subchapter 00, Part 2",rules and regulations pertaining to the crime victim compensation program,treasury department,treasury department,Taxes and Public Finance,1200001099,222,12682,153,54,2,2,11,28.0,9.14,25.95936794582393,33.592653871608206
Rhode Island,2020-06-02,"Title 120, Chapter 00, Subchapter 00, Part 4",rules and regulations governing the public finance management board,treasury department,treasury department,Taxes and Public Finance,1200001100,60,3639,51,4,0,0,5,19.0,8.56,5.729166666666666,33.00570776255708
Rhode Island,2020-06-02,"Title 120, Chapter 00, Subchapter 00, Part 5",regulations for the conduct of public hearings regarding proposed rulemaking,treasury department,treasury department,Taxes and Public Finance,1200001101,24,1061,13,8,0,0,3,19.0,7.2,20.37037037037037,30.323857868020305
Rhode Island,2020-06-02,"Title 130, Chapter 00, Subchapter 00, Part 1",maximum levy standards and procedures for certification of an emergency situation in accordance with ri gen laws section 44 5 2,auditor general,auditor general,Taxes and Public Finance,1200001102,25,1384,20,3,1,0,1,22.0,7.82,12.698412698412698,34.7272030651341
Rhode Island,2020-06-02,"Title 152, Chapter 00, Subchapter 00, Part 1",procedures and rules of practice,unauthorized practice of law committee,unauthorized practice of law committee,"Security, Justice, and Corrections",1200001103,93,3407,89,0,0,0,4,23.0,8.35,18.666666666666668,34.45666666666666
Rhode Island,2020-06-02,"Title 160, Chapter 00, Subchapter 00, Part 1",rules and regulations of the joint committee on legislative services,permanent joint committee on legislative services,permanent joint committee on legislative services,Administration,1200001104,18,1560,16,1,0,0,1,16.0,7.98,22.105263157894736,41.4607329842932
Rhode Island,2020-06-02,"Title 180, Chapter 10, Subchapter 00, Part 2",rhode island veterans home administrative procedures for the billing and collection of maintenance fees,rhode island veterans home,rhode island office of veterans services,"Security, Justice, and Corrections",1200001105,72,3445,66,4,1,0,1,18.0,8.45,11.827956989247312,31.641944531006544
Rhode Island,2020-06-02,"Title 180, Chapter 10, Subchapter 00, Part 3",rhode island veterans home general rules of the rhode island veterans home,rhode island veterans home,rhode island office of veterans services,"Security, Justice, and Corrections",1200001106,91,5519,57,13,5,4,12,13.0,9.31,11.342592592592592,35.65052231718899
Rhode Island,2020-06-02,"Title 180, Chapter 20, Subchapter 00, Part 1",ri veterans memorial cemetery,ri veterans memorial cemetery,rhode island office of veterans services,"Security, Justice, and Corrections",1200001107,48,5313,13,12,0,11,12,16.0,9.18,12.612612612612612,35.42328146543234
Rhode Island,2020-06-02,"Title 180, Chapter 30, Subchapter 00, Part 1",petition for promulgation of rules,administrative procedures,rhode island office of veterans services,"Security, Justice, and Corrections",1200001108,7,503,3,4,0,0,0,14.0,6.79,0.0,34.57575757575758
